Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,19.577499,19.578930,19.241785,19.445356,16.527443,683270000
2012-03-02,19.437143,19.528570,19.375713,19.470715,16.548992,431712400
2012-03-05,19.479286,19.552856,18.785713,19.041430,16.184122,809124400
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.096092,810238800
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.109144,798520800
2012-03-08,19.096071,19.392500,19.004286,19.356787,16.452162,516457200
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.548685,418919200
2012-03-12,19.606428,19.714287,19.535713,19.714287,16.756012,407282400
2012-03-13,19.912144,20.292143,19.848213,20.289286,17.244732,690855200
2012-03-14,20.644644,21.240000,20.549999,21.056429,17.896761,1418844000
2012-03-15,21.414642,21.428928,20.662500,20.912857,17.774734,1159718000
2012-03-16,20.882856,21.042856,20.642857,20.913214,17.775038,825487600
2012-03-19,21.370358,21.491785,21.037500,21.467857,18.246449,901236000
2012-03-20,21.411072,21.674999,21.124287,21.641430,18.393974,816662000
2012-03-21,21.526428,21.773214,21.478930,21.517857,18.288944,644042000
2012-03-22,21.349285,21.589287,21.268929,21.405001,18.193020,623870800
2012-03-23,21.446072,21.492857,21.228571,21.287500,18.093153,430488800
2012-03-26,21.421070,21.683929,21.259287,21.677856,18.424936,595742000
2012-03-27,21.649286,22.010000,21.645000,21.945715,18.652596,607129600
2012-03-28,22.084999,22.194643,21.796785,22.057858,18.747911,655460400
2012-03-29,21.885000,22.020000,21.686787,21.780714,18.512363,608238400
2012-03-30,21.741785,21.805714,21.355000,21.412500,18.199398,731038000
2012-04-02,21.493929,22.098928,21.442142,22.093929,18.778578,598351600
2012-04-03,22.403570,22.578930,22.232500,22.475714,19.103067,834559600
2012-04-04,22.298214,22.352142,22.035713,22.296785,18.950987,572980800
2012-04-05,22.392143,22.666430,22.264286,22.631430,19.235416,641298000
2012-04-09,22.361786,22.851429,22.332144,22.722500,19.312822,597536800
2012-04-10,22.854643,23.000000,22.357143,22.444286,19.076365,889725200
2012-04-11,22.721430,22.745358,22.262142,22.364286,19.008369,696614800
2012-04-12,22.321428,22.547501,22.160713,22.241785,18.904242,614336800
2012-04-13,22.289642,22.310715,21.553928,21.615356,18.371819,859644800
2012-04-16,21.787857,21.795713,20.651787,20.718929,17.609898,1050786800
2012-04-17,20.676430,21.785713,20.425358,21.775000,18.507505,1025528000
2012-04-18,21.918571,22.151787,21.525356,21.726429,18.466223,954531200
2012-04-19,21.436428,21.597500,20.875713,20.980000,17.831791,834719200
2012-04-20,21.120714,21.236429,20.372143,20.463572,17.392870,1030985200
2012-04-23,20.378929,20.595358,19.879286,20.417856,17.354008,966529200
2012-04-24,20.093214,20.274643,19.821428,20.010000,17.007360,1076149200
2012-04-25,21.987143,22.071428,21.642857,21.785713,18.516607,905777600
2012-04-26,21.938213,21.953215,21.504642,21.703571,18.446798,536068400
